region,subregion,year,overall_acc
columbia,CRGNSA,2023,0.9613
columbia,CRGNSA,2022,0.9646
columbia,CRGNSA,2021,0.958
columbia,CRGNSA,2020,0.9618
columbia,CRGNSA,2019,0.9591
columbia,CRGNSA,2018,0.964
columbia,CRGNSA,2017,0.9597
columbia,CRGNSA,2016,0.9619
cascades,baker,2023,0.9777
cascades,baker,2022,0.9752
cascades,baker,2021,0.9682
cascades,baker,2020,0.9762
cascades,baker,2019,0.9697
cascades,baker,2018,0.9742
cascades,baker,2017,0.9687
cascades,baker,2016,0.9728
columbia,chelan,2023,0.9416
columbia,chelan,2022,0.9501
columbia,chelan,2021,0.9437
columbia,chelan,2020,0.9511
columbia,chelan,2019,0.9373
columbia,chelan,2018,0.9501
columbia,chelan,2017,0.9532
columbia,chelan,2016,0.9277
columbia,colville,2023,0.9345
columbia,colville,2022,0.9415
columbia,colville,2021,0.9401
columbia,colville,2020,0.9471
columbia,colville,2019,0.9345
columbia,colville,2018,0.9387
columbia,colville,2017,0.9534
columbia,colville,2016,0.9387
cascades,eastGP,2023,0.971
cascades,eastGP,2022,0.9765
cascades,eastGP,2021,0.9757
cascades,eastGP,2020,0.978
cascades,eastGP,2019,0.9741
cascades,eastGP,2018,0.9749
cascades,eastGP,2017,0.9765
cascades,eastGP,2016,0.9731
cascades,forbidden,2023,0.9798
cascades,forbidden,2022,0.9765
cascades,forbidden,2021,0.9713
cascades,forbidden,2020,0.9765
cascades,forbidden,2019,0.9726
cascades,forbidden,2018,0.9765
cascades,forbidden,2017,0.9765
cascades,forbidden,2016,0.983
cascades,mt_rainier,2023,0.9836
cascades,mt_rainier,2022,0.9848
cascades,mt_rainier,2021,0.9867
cascades,mt_rainier,2020,0.9848
cascades,mt_rainier,2019,0.9823
cascades,mt_rainier,2018,0.9874
cascades,mt_rainier,2017,0.983
cascades,mt_rainier,2016,0.9826
columbia,quincy,2023,0.9417
columbia,quincy,2022,0.9454
columbia,quincy,2021,0.9454
columbia,quincy,2020,0.9399
columbia,quincy,2019,0.9472
columbia,quincy,2018,0.9381
columbia,quincy,2017,0.9435
columbia,quincy,2016,0.9399
cascades,snoqualmie,2023,0.9766
cascades,snoqualmie,2022,0.9772
cascades,snoqualmie,2021,0.9741
cascades,snoqualmie,2020,0.9741
cascades,snoqualmie,2019,0.9692
cascades,snoqualmie,2018,0.9747
cascades,snoqualmie,2017,0.9722
cascades,snoqualmie,2016,0.9462
columbia,tricities,2023,0.9854
columbia,tricities,2022,0.9772
columbia,tricities,2021,0.9821
columbia,tricities,2020,0.9821
columbia,tricities,2019,0.9707
columbia,tricities,2018,0.9789
columbia,tricities,2017,0.9724
columbia,tricities,2016,0.974
cascades,westGP,2023,0.9783
cascades,westGP,2022,0.9793
cascades,westGP,2021,0.9764
cascades,westGP,2020,0.9764
cascades,westGP,2019,0.9783
cascades,westGP,2018,0.9774
cascades,westGP,2017,0.9774
cascades,westGP,2016,0.9661
cascades,ncasc,2023,0.9611
cascades,ncasc,2022,0.9557
cascades,ncasc,2021,0.9548
cascades,ncasc,2020,0.9539
cascades,ncasc,2019,0.953
cascades,ncasc,2018,0.953
cascades,ncasc,2017,0.9548
cascades,ncasc,2016,0.9627
cascades,winthrop,2023,0.976
cascades,winthrop,2022,0.9793
cascades,winthrop,2021,0.976
cascades,winthrop,2020,0.9776
cascades,winthrop,2019,0.976
cascades,winthrop,2018,0.9768
cascades,winthrop,2017,0.9719
cascades,winthrop,2016,0.9811