property,varimp
VV,1523.315583
B,1446.896055
constant,1407.558085
msavi2,1638.015396
G,1344.449041
ndvi_diff,1750.186282
naip_NDVI,1655.383828
nbr_var_pct,2204.236116
nbr_max_var,1898.974298
N,1407.124027
R,1341.244897
roughness,1649.116809
awei_sh,1393.667141
cti,1423.486561
evi,1545.723662
ndvi,1516.887548
elevation,1867.630646
B10,1269.009569
B11,1355.216428
B12,1399.924859
nd_median,1575.186151
nd_max,1529.284349
ndwi,1467.921718
awei_nsh,1355.112364
nbr,1700.786729
nbr_var_median,1852.878395
tri,1614.961264
slope,1678.641811
tpi,1538.757626
B1,1428.444639
B2,1552.090174
B3,1330.728588
B4,1370.400549
VH,1481.499711
B5,1393.041122
B6,1415.448215
nbi,1672.780082
B7,1401.13683
B8,1406.47444
B9,1352.524722